epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7422.66,0.85503,1.24441,1.31703,0.57312,0.57763,0.5858,0.45553,0.9209,1.3415,1.41287,0.00898525,0.00898525,0.00898525
43,7591.31,0.84397,1.22023,1.30195,0.5924,0.57808,0.5794,0.4549,0.96181,1.35746,1.43696,0.0089605,0.0089605,0.0089605
44,7717.56,0.84798,1.22207,1.29085,0.63724,0.5632,0.58406,0.44898,0.94969,1.32389,1.40726,0.00893575,0.00893575,0.00893575
45,7818.21,0.84772,1.21526,1.30727,0.56093,0.5379,0.56654,0.43702,0.95979,1.35157,1.44248,0.008911,0.008911,0.008911
46,7920.12,0.82287,1.20535,1.28456,0.55303,0.5503,0.57417,0.45173,0.93755,1.30985,1.42932,0.00888625,0.00888625,0.00888625
47,8066.21,0.82947,1.179,1.29519,0.55449,0.59112,0.5647,0.44977,0.92388,1.30551,1.42769,0.0088615,0.0088615,0.0088615
48,8231.9,0.83139,1.20393,1.29931,0.56248,0.59659,0.59798,0.46875,0.92529,1.29548,1.39017,0.00883675,0.00883675,0.00883675
49,8332.97,0.82691,1.18307,1.27905,0.57023,0.58604,0.58269,0.45769,0.91038,1.30527,1.39226,0.008812,0.008812,0.008812
50,8433.63,0.81016,1.14097,1.26933,0.54428,0.65591,0.5853,0.44599,0.95286,1.29692,1.44466,0.00878725,0.00878725,0.00878725
51,8534.37,0.81491,1.13925,1.28043,0.60177,0.59693,0.58961,0.46069,0.92323,1.30123,1.403,0.0087625,0.0087625,0.0087625
52,8635.03,0.80234,1.11937,1.2704,0.6252,0.59715,0.56631,0.42855,0.94263,1.36577,1.40266,0.00873775,0.00873775,0.00873775
53,8735.74,0.80504,1.13883,1.27881,0.54199,0.6021,0.58248,0.45409,0.90647,1.32631,1.40752,0.008713,0.008713,0.008713
54,8836.33,0.80176,1.12357,1.27267,0.59773,0.56029,0.58187,0.45128,0.92707,1.32597,1.41745,0.00868825,0.00868825,0.00868825
55,8936.82,0.78948,1.10504,1.2585,0.61955,0.58882,0.59688,0.46189,0.95012,1.30405,1.42507,0.0086635,0.0086635,0.0086635
56,9037.48,0.79629,1.1227,1.27375,0.61024,0.53262,0.5693,0.44977,0.95702,1.30662,1.41482,0.00863875,0.00863875,0.00863875
57,9137.91,0.7866,1.09446,1.25895,0.62879,0.57045,0.59703,0.46425,0.95432,1.28279,1.4143,0.008614,0.008614,0.008614
58,9238.4,0.7912,1.08494,1.26722,0.63199,0.59418,0.61639,0.46767,0.95332,1.31183,1.44521,0.00858925,0.00858925,0.00858925
59,9339.33,0.77482,1.08703,1.24625,0.60246,0.6094,0.58636,0.4534,0.9359,1.32014,1.43488,0.0085645,0.0085645,0.0085645
60,9439.93,0.7877,1.08919,1.2638,0.58561,0.60996,0.58747,0.4638,0.90783,1.29203,1.3978,0.00853975,0.00853975,0.00853975
61,9576.85,0.77451,1.06529,1.25319,0.6342,0.57356,0.591,0.45949,0.95226,1.31574,1.44678,0.008515,0.008515,0.008515
62,9746.05,0.77634,1.08118,1.25628,0.57083,0.60958,0.59041,0.45821,0.9659,1.32162,1.45502,0.00849025,0.00849025,0.00849025
63,9860.69,0.74757,1.04228,1.22439,0.5774,0.61261,0.59552,0.46257,0.9109,1.30476,1.38115,0.0084655,0.0084655,0.0084655
64,9975.32,0.7659,1.07124,1.25345,0.61237,0.63268,0.60517,0.47056,0.92473,1.27356,1.43439,0.00844075,0.00844075,0.00844075
65,10090.2,0.76421,1.03039,1.24075,0.60768,0.58321,0.60161,0.4701,0.92694,1.25815,1.41442,0.008416,0.008416,0.008416
66,10204.8,0.75248,1.01719,1.23704,0.67036,0.63268,0.63599,0.5023,0.9197,1.22233,1.40122,0.00839125,0.00839125,0.00839125
67,10319.7,0.74843,1.01199,1.23573,0.56903,0.58771,0.58021,0.45172,0.92862,1.30864,1.40876,0.0083665,0.0083665,0.0083665
68,10481.4,0.75863,1.01651,1.23874,0.60211,0.62586,0.59986,0.4722,0.92782,1.25665,1.41906,0.00834175,0.00834175,0.00834175
69,10608.2,0.73742,1.01709,1.22286,0.5823,0.59526,0.59138,0.46158,0.93176,1.27739,1.41348,0.008317,0.008317,0.008317
70,10722.3,0.74148,1.001,1.21988,0.65253,0.56399,0.5962,0.46851,0.90822,1.31638,1.39585,0.00829225,0.00829225,0.00829225
71,10837,0.73338,0.99193,1.21502,0.60388,0.60509,0.60195,0.46476,0.92995,1.28576,1.42286,0.0082675,0.0082675,0.0082675
72,10951.7,0.75022,0.98792,1.23532,0.63821,0.61904,0.63175,0.48947,0.92079,1.25561,1.40564,0.00824275,0.00824275,0.00824275
73,11066.3,0.73478,1.0006,1.22698,0.68103,0.61488,0.62589,0.49267,0.92364,1.26141,1.39277,0.008218,0.008218,0.008218
74,11180.7,0.7418,0.99491,1.22249,0.58872,0.62702,0.5947,0.47508,0.93484,1.27376,1.42633,0.00819325,0.00819325,0.00819325
75,11295.1,0.72809,0.98458,1.20834,0.64848,0.63099,0.61776,0.47742,0.92104,1.25536,1.41299,0.0081685,0.0081685,0.0081685
76,11409.5,0.71749,0.97122,1.20324,0.6178,0.63213,0.61893,0.47657,0.96801,1.26618,1.47341,0.00814375,0.00814375,0.00814375
77,11524,0.73001,0.96465,1.21205,0.62153,0.63075,0.62574,0.48967,0.93836,1.24755,1.42827,0.008119,0.008119,0.008119
78,11638.5,0.70721,0.93976,1.20398,0.63227,0.59202,0.60599,0.47919,0.91506,1.26756,1.41601,0.00809425,0.00809425,0.00809425
79,11753.2,0.70871,0.93526,1.20317,0.65259,0.58292,0.6069,0.48379,0.90968,1.29503,1.39738,0.0080695,0.0080695,0.0080695
80,11868,0.71725,0.94437,1.20576,0.57942,0.6623,0.6002,0.46766,0.92303,1.27651,1.41744,0.00804475,0.00804475,0.00804475
81,11981.6,0.7218,0.93902,1.21404,0.631,0.64178,0.62852,0.49776,0.90368,1.21981,1.40141,0.00802,0.00802,0.00802
82,12097,0.71965,0.94647,1.21667,0.61722,0.64905,0.61296,0.48388,0.92014,1.27857,1.41254,0.00799525,0.00799525,0.00799525
83,12211.9,0.69553,0.90704,1.19091,0.57476,0.63553,0.58773,0.46212,0.93731,1.30236,1.43152,0.0079705,0.0079705,0.0079705
84,12330.4,0.68026,0.89544,1.18559,0.59078,0.61292,0.59451,0.46362,0.90216,1.28492,1.41787,0.00794575,0.00794575,0.00794575
85,12451.5,0.7002,0.92608,1.19382,0.66251,0.58042,0.6172,0.48617,0.89992,1.22111,1.39021,0.007921,0.007921,0.007921
86,12572.7,0.69183,0.91006,1.18407,0.61182,0.65539,0.62318,0.4865,0.88711,1.23295,1.36688,0.00789625,0.00789625,0.00789625
87,12691.1,0.69206,0.90203,1.19137,0.64244,0.6098,0.61237,0.4868,0.91951,1.2942,1.42208,0.0078715,0.0078715,0.0078715
88,12812.5,0.6904,0.89643,1.17826,0.64143,0.59432,0.60755,0.48051,0.89624,1.28593,1.38097,0.00784675,0.00784675,0.00784675
89,12933.5,0.67681,0.8827,1.18007,0.632,0.6236,0.61975,0.48619,0.88945,1.2775,1.38864,0.007822,0.007822,0.007822
90,13055.2,0.68231,0.87321,1.18594,0.66671,0.59733,0.63344,0.50748,0.90437,1.2888,1.39224,0.00779725,0.00779725,0.00779725
91,13174.2,0.67428,0.88889,1.18441,0.59156,0.65367,0.62525,0.48952,0.90471,1.24364,1.39175,0.0077725,0.0077725,0.0077725
92,13295.1,0.67819,0.88273,1.1843,0.64425,0.61952,0.62589,0.49077,0.93759,1.26361,1.42667,0.00774775,0.00774775,0.00774775
93,13409.5,0.68808,0.88459,1.1912,0.63238,0.64692,0.63653,0.5,0.8982,1.2206,1.39123,0.007723,0.007723,0.007723
94,13524.2,0.67741,0.85718,1.18025,0.62113,0.65747,0.63022,0.50355,0.93278,1.23024,1.43357,0.00769825,0.00769825,0.00769825
95,13639.5,0.67945,0.87719,1.17631,0.6215,0.60411,0.61501,0.49243,0.91411,1.24533,1.40188,0.0076735,0.0076735,0.0076735
96,13754.3,0.66229,0.85225,1.16849,0.66312,0.60318,0.63251,0.49985,0.9085,1.22956,1.42621,0.00764875,0.00764875,0.00764875
97,13869.4,0.66103,0.86654,1.16881,0.6283,0.61648,0.62243,0.49,0.89319,1.23945,1.38619,0.007624,0.007624,0.007624
98,13983.9,0.65845,0.84696,1.16253,0.63876,0.58602,0.60918,0.47626,0.92132,1.28069,1.40939,0.00759925,0.00759925,0.00759925
99,14098.7,0.66086,0.84479,1.16784,0.60336,0.60315,0.59895,0.47027,0.8949,1.28772,1.38324,0.0075745,0.0075745,0.0075745
100,14213.3,0.66034,0.8269,1.16667,0.58448,0.62444,0.59826,0.47505,0.92727,1.34347,1.42356,0.00754975,0.00754975,0.00754975
101,14328.2,0.66205,0.84292,1.1689,0.6437,0.58481,0.613,0.4931,0.91227,1.30817,1.41072,0.007525,0.007525,0.007525
102,14442.7,0.66507,0.83373,1.1669,0.59701,0.66575,0.61732,0.48921,0.90549,1.24992,1.40154,0.00750025,0.00750025,0.00750025
103,14557.4,0.66695,0.83356,1.17553,0.60168,0.6258,0.61545,0.4921,0.90325,1.25323,1.41352,0.0074755,0.0074755,0.0074755
104,14671.9,0.65485,0.83557,1.16628,0.6248,0.61626,0.60811,0.49406,0.8971,1.30674,1.39813,0.00745075,0.00745075,0.00745075
105,14786.6,0.65461,0.82729,1.15784,0.64655,0.63101,0.62871,0.50369,0.8855,1.25004,1.38815,0.007426,0.007426,0.007426
106,14899.4,0.64404,0.81114,1.14842,0.68912,0.57724,0.62561,0.50392,0.87286,1.28271,1.37792,0.00740125,0.00740125,0.00740125
107,15014.5,0.65774,0.80929,1.16634,0.64621,0.60983,0.62434,0.49304,0.91568,1.27641,1.42764,0.0073765,0.0073765,0.0073765
108,15128.9,0.63252,0.78225,1.14323,0.6132,0.63872,0.61938,0.5013,0.89901,1.34463,1.41225,0.00735175,0.00735175,0.00735175
109,15243.4,0.62642,0.78333,1.13726,0.63262,0.632,0.62439,0.49566,0.90802,1.29977,1.40894,0.007327,0.007327,0.007327
